rank,name,year,rating,genre,watched
107,Scarface,1983,8.3,"Crime,Drama",False
108,Hamilton,2020,8.4,"Biography,Drama,History",False
109,Incendies,2010,8.3,"Drama,Mystery",False
110,To Kill a Mockingbird,1962,8.3,"Crime,Drama",False
111,Heat,1995,8.3,"Action,Crime,Drama",False
112,The Sting,1973,8.3,"Comedy,Crime,Drama",False
113,Up,2009,8.3,"Animation,Adventure,Comedy",False
114,A Separation,2011,8.3,Drama,False
115,Metropolis,1927,8.3,"Drama,Sci-Fi",False
116,Taxi Driver,1976,8.2,"Crime,Drama",False
117,L.A. Confidential,1997,8.2,"Crime,Drama,Mystery",False
118,Die Hard,1988,8.2,"Action,Thriller",False
119,Snatch,2000,8.2,"Comedy,Crime",False
120,Indiana Jones and the Last Crusade,1989,8.2,"Action,Adventure",False
121,Bicycle Thieves,1948,8.3,Drama,False
122,Like Stars on Earth,2007,8.3,"Drama,Family",False
123,1917,2019,8.2,"Action,Drama,War",False
124,Downfall,2004,8.2,"Biography,Drama,History",False
125,Dangal,2016,8.3,"Action,Biography,Drama",False
126,For a Few Dollars More,1965,8.2,Western,False
127,Batman Begins,2005,8.2,"Action,Crime,Drama",False
128,The Kid,1921,8.3,"Comedy,Drama,Family",False
129,Some Like It Hot,1959,8.2,"Comedy,Music,Romance",False
130,The Father,2020,8.2,"Drama,Mystery",False
131,All About Eve,1950,8.2,Drama,False
132,The Wolf of Wall Street,2013,8.2,"Biography,Comedy,Crime",False
133,Green Book,2018,8.2,"Biography,Comedy,Drama",False
134,Judgment at Nuremberg,1961,8.3,"Drama,War",False
135,Casino,1995,8.2,"Crime,Drama",False
136,Ran,1985,8.2,"Action,Drama,War",False
137,Pan's Labyrinth,2006,8.2,"Drama,Fantasy,War",False
138,The Truman Show,1998,8.2,"Comedy,Drama",False
139,There Will Be Blood,2007,8.2,Drama,False
140,Unforgiven,1992,8.2,"Drama,Western",False
141,The Sixth Sense,1999,8.2,"Drama,Mystery,Thriller",False
142,Shutter Island,2010,8.2,"Mystery,Thriller",False
143,A Beautiful Mind,2001,8.2,"Biography,Drama",False
144,Jurassic Park,1993,8.2,"Action,Adventure,Sci-Fi",False
145,Yojimbo,1961,8.2,"Action,Drama,Thriller",False
146,The Treasure of the Sierra Madre,1948,8.2,"Adventure,Drama,Western",False
147,Monty Python and the Holy Grail,1975,8.2,"Adventure,Comedy,Fantasy",False
148,The Great Escape,1963,8.2,"Adventure,Drama,History",False
149,No Country for Old Men,2007,8.2,"Crime,Drama,Thriller",False
150,Spider-Man: No Way Home,2021,8.2,"Action,Adventure,Fantasy",False
151,Kill Bill: Vol. 1,2003,8.2,"Action,Crime,Drama",False
152,Rashomon,1950,8.2,"Crime,Drama,Mystery",False
153,The Thing,1982,8.2,"Horror,Mystery,Sci-Fi",False
154,Finding Nemo,2003,8.2,"Animation,Adventure,Comedy",False
155,The Elephant Man,1980,8.2,"Biography,Drama",False
156,Chinatown,1974,8.2,"Drama,Mystery,Thriller",False
157,Raging Bull,1980,8.2,"Biography,Drama,Sport",False
158,V for Vendetta,2005,8.2,"Action,Drama,Sci-Fi",False
159,Gone with the Wind,1939,8.2,"Drama,Romance,War",False
160,"Lock, Stock and Two Smoking Barrels",1998,8.2,"Action,Comedy,Crime",False
161,Inside Out,2015,8.2,"Animation,Adventure,Comedy",False
162,Dial M for Murder,1954,8.2,"Crime,Thriller",False
163,The Secret in Their Eyes,2009,8.2,"Drama,Mystery,Romance",False
164,Howl's Moving Castle,2004,8.2,"Animation,Adventure,Family",False
165,"Three Billboards Outside Ebbing, Missouri",2017,8.1,"Comedy,Crime,Drama",False
166,The Bridge on the River Kwai,1957,8.2,"Adventure,Drama,War",False
167,Trainspotting,1996,8.1,Drama,False
168,Prisoners,2013,8.1,"Crime,Drama,Mystery",False
169,Warrior,2011,8.2,"Action,Drama,Sport",False
170,Fargo,1996,8.1,"Crime,Thriller",False
171,Gran Torino,2008,8.1,Drama,False
172,My Neighbor Totoro,1988,8.1,"Animation,Comedy,Family",False
173,Catch Me If You Can,2002,8.1,"Biography,Crime,Drama",False
174,Million Dollar Baby,2004,8.1,"Drama,Sport",False
175,Children of Heaven,1997,8.2,"Drama,Family,Sport",False
176,Blade Runner,1982,8.1,"Action,Drama,Sci-Fi",False
177,The Gold Rush,1925,8.1,"Adventure,Comedy,Drama",False
178,Before Sunrise,1995,8.1,"Drama,Romance",False
179,12 Years a Slave,2013,8.1,"Biography,Drama,History",False
180,Klaus,2019,8.2,"Animation,Adventure,Comedy",False
181,Harry Potter and the Deathly Hallows: Part 2,2011,8.1,"Adventure,Family,Fantasy",False
182,On the Waterfront,1954,8.1,"Crime,Drama,Thriller",False
183,Ben-Hur,1959,8.1,"Adventure,Drama",False
184,Gone Girl,2014,8.1,"Drama,Mystery,Thriller",False
185,The Grand Budapest Hotel,2014,8.1,"Adventure,Comedy,Crime",False
186,Wild Strawberries,1957,8.1,"Drama,Romance",False
187,The General,1926,8.1,"Action,Adventure,Comedy",False
188,The Third Man,1949,8.1,"Film-Noir,Mystery,Thriller",False
189,In the Name of the Father,1993,8.1,"Biography,Crime,Drama",False
190,The Deer Hunter,1978,8.1,"Drama,War",False
191,Barry Lyndon,1975,8.1,"Adventure,Drama,War",False
192,Hacksaw Ridge,2016,8.1,"Biography,Drama,History",False
193,The Wages of Fear,1953,8.2,"Adventure,Drama,Thriller",False
194,Memories of Murder,2003,8.1,"Crime,Drama,Mystery",False
195,Sherlock Jr.,1924,8.2,"Action,Comedy,Romance",False
196,Wild Tales,2014,8.1,"Comedy,Drama,Thriller",False
197,Mr. Smith Goes to Washington,1939,8.1,"Comedy,Drama",False
198,Mad Max: Fury Road,2015,8.1,"Action,Adventure,Sci-Fi",False
199,The Seventh Seal,1957,8.1,"Drama,Fantasy",False
200,Mary and Max,2009,8.1,"Animation,Comedy,Drama",False
201,How to Train Your Dragon,2010,8.1,"Animation,Action,Adventure",False
202,Room,2015,8.1,"Drama,Thriller",False
203,"Monsters, Inc.",2001,8.1,"Animation,Adventure,Comedy",False
204,Jaws,1975,8.1,"Adventure,Thriller",False
205,Dead Poets Society,1989,8.1,"Comedy,Drama",False
206,The Big Lebowski,1998,8.1,"Comedy,Crime",False
207,Tokyo Story,1953,8.2,Drama,False
208,The Passion of Joan of Arc,1928,8.2,"Biography,Drama,History",False
209,Hotel Rwanda,2004,8.1,"Biography,Drama,History",False
210,Ford v Ferrari,2019,8.1,"Action,Biography,Drama",False
211,Rocky,1976,8.1,"Drama,Sport",False
212,Platoon,1986,8.1,"Drama,War",False
213,Ratatouille,2007,8.1,"Animation,Adventure,Comedy",False
214,Spotlight,2015,8.1,"Biography,Crime,Drama",False
215,The Terminator,1984,8.1,"Action,Sci-Fi",False
216,Logan,2017,8.1,"Action,Drama,Sci-Fi",False
217,Stand by Me,1986,8.1,"Adventure,Drama",False
218,Rush,2013,8.1,"Action,Biography,Drama",False
219,Network,1976,8.1,Drama,False
220,Into the Wild,2007,8.1,"Adventure,Biography,Drama",False
221,Before Sunset,2004,8.1,"Drama,Romance",False
222,The Wizard of Oz,1939,8.1,"Adventure,Family,Fantasy",False
223,Pather Panchali,1955,8.3,Drama,False
224,Groundhog Day,1993,8.1,"Comedy,Drama,Fantasy",False
225,The Best Years of Our Lives,1946,8.1,"Drama,Romance,War",False
226,The Exorcist,1973,8.1,Horror,False
227,The Incredibles,2004,8.0,"Animation,Action,Adventure",False
228,To Be or Not to Be,1942,8.2,"Comedy,Romance,War",False
229,La haine,1995,8.1,"Crime,Drama",False
230,The Battle of Algiers,1966,8.1,"Drama,War",False
231,Pirates of the Caribbean: The Curse of the Black Pearl,2003,8.1,"Action,Adventure,Fantasy",False
232,Hachi: A Dog's Tale,2009,8.1,"Biography,Drama,Family",False
233,The Grapes of Wrath,1940,8.1,Drama,False
234,Jai Bhim,2021,8.8,"Crime,Drama,Mystery",False
235,My Father and My Son,2005,8.2,"Drama,Family",False
236,Amores Perros,2000,8.1,"Drama,Thriller",False
